question;answer_0;answer_1;answer_2;answer_3;index_right
Какая из этих продуктов наиболее полезна для здоровья сердца?;Картофель фри.;Авокадо.;Сладкие пирожные.;Жирные колбасы.;1
Какое вещество является основным источником энергии для сердца?;Глюкоза.;Белки.;Витамины.;Жиры.;0
Какие показатели наиболее важны для оценки работы сердца?;Кислотность желудка.;Уровень сахара в крови.;Температура тела.;Артериальное давление и пульс.;3
Что чаще всего является причиной повышенного артериального давления?;Недостаток сна.;Переедание сладкого.;Стресс и неправильное питание.;Низкий уровень физической активности.;2
Как часто рекомендуется взрослому человеку проходить обследование у кардиолога?;Один раз в месяц.;Один раз в год.;Только при наличии симптомов.;Каждые 5 лет.;1
Что происходит при инфаркте миокарда?;Сердце перестаёт биться.;Участок сердечной мышцы погибает из-за нехватки кислорода.;Сердце сокращается слишком быстро.;Происходит тромбоз лёгочных артерий.;1
Какие продукты следует ограничивать, чтобы снизить риск сердечно-сосудистых заболеваний?;Овощи и фрукты.;Молочные продукты.;Рыбу и морепродукты.;Продукты с высоким содержанием соли и насыщенных жиров.;3
Какой уровень холестерина в крови считается нормальным?;Менее 5 ммоль/л.;7–8 ммоль/л.;Более 9 ммоль/л.;10–12 ммоль/л.;0
Что чаще всего вызывает ишемическую болезнь сердца?;Избыток кальция в организме.;Атеросклероз (сужение коронарных артерий).;Высокая температура воздуха.;Недостаток витамина C.;1
Какое из следующих действий снижает риск сердечных заболеваний?;Постоянное употребление сахара.;Полный отказ от воды.;Потребление жирной пищи.;Регулярные умеренные физические нагрузки.;3
Что происходит при аритмии?;Сердце перестаёт биться.;Нарушается нормальный ритм сердечных сокращений.;Кровь перестаёт поступать в мозг.;Повышается уровень сахара в крови.;1
Какая часть сердца перекачивает кровь в лёгкие?;Правый желудочек.;Левое предсердие.;Левый желудочек.;Правое предсердие.;0
Что такое атеросклероз?;Заболевание лёгких.;Заболевание почек.;Уплотнение и сужение артерий из-за отложений холестерина.;Нарушение обмена веществ.;2
Какое значение пульса считается нормальным при физической активности?;30–50 ударов в минуту.;Более 200 ударов в минуту.;140–160 ударов в минуту.;100–130 ударов в минуту.;3
Что из этого является признаком инсульта?;Боль в животе.;Нарушение речи и асимметрия лица.;Увеличение аппетита.;Повышенное потоотделение.;1
Какой тип жира считается полезным для сердца?;Трансжиры.;Омега-3 жирные кислоты.;Насыщенные жиры.;Жиры, содержащиеся в фастфуде.;1
Что такое гипертония?;Снижение уровня сахара в крови.;Учащённое сердцебиение.;Повышенное артериальное давление.;Недостаток кислорода в крови.;2
Какой из этих напитков лучше всего подходит для поддержания здоровья сердца?;Газированные напитки.;Красное вино в умеренных количествах.;Крепкий кофе в больших дозах.;Сладкий чай.;1
Какая роль магния в здоровье сердца?;Он снижает уровень холестерина.;Увеличивает содержание кислорода в крови.;Способствует сжиганию жира.;Участвует в регуляции сердечного ритма.;3
Что происходит при сердечной недостаточности?;Сердце не может перекачивать достаточное количество крови.;Сердце перестаёт сокращаться.;Сердце сокращается слишком быстро.;Сердце становится меньше по размеру.;0
Какое из этих состояний является фактором риска для развития атеросклероза?;Высокий уровень физической активности.;"Высокий уровень ""плохого"" холестерина.";Недостаток сна.;Частое пребывание на солнце.;1
Какое из перечисленных значений пульса у взрослого человека считается тахикардией?;Менее 50 ударов в минуту.;60–80 ударов в минуту.;Более 100 ударов в минуту.;80–90 ударов в минуту.;2
Какое лекарственное средство чаще всего используют для разжижения крови?;Ибупрофен.;Аспирин.;Анальгин.;Витамин D.;1
Что происходит с сосудами при высоком кровяном давлении?;Они расширяются.;Они сужаются.;Они становятся более эластичными.;Они исчезают.;1
Какой уровень физической активности рекомендуется для профилактики сердечно-сосудистых заболеваний?;10 минут в неделю.;Полный отказ от физической активности.;300 минут интенсивной активности в неделю.;150 минут умеренной активности в неделю.;3
Какая функция выполняется клапанами сердца?;Они контролируют поступление кислорода в кровь.;Они регулируют уровень сахара в крови.;Они обеспечивают движение крови в одном направлении.;Они поддерживают постоянное давление в артериях.;2
"Какой продукт лучше всего помогает снизить уровень ""плохого"" холестерина?";Жирное мясо.;Овсянка.;Белый хлеб.;Солёная рыба.;1
Что такое ишемия?;Недостаточное кровоснабжение органов.;Повышение уровня кислорода в крови.;Повышенное давление в артериях.;Воспаление сердечной мышцы.;0
Что из этого рекомендуется делать при появлении боли в груди?;Заняться физической нагрузкой.;Выпить стакан сладкого чая.;Попробовать игнорировать боль.;Сесть или лечь, принять нитроглицерин.;3
Какая из этих привычек наиболее вредна для здоровья сердца?;Ежедневные прогулки.;Курение.;Умеренное употребление кофе.;Потребление рыбы.;1
Сколько крови сердце перекачивает за сутки в среднем?;Около 5 литров.;Около 7 литров.;Около 7 000 литров.;Около 70 000 литров.;2
Какая из этих причин может вызвать аритмию?;Неправильное питание.;Стресс и кофеин.;Повышенный уровень кислорода.;Потребление чистой воды.;1
Какой из этих продуктов наиболее богат калием, полезным для сердца?;Бананы.;Сахар.;Сливочное масло.;Красное мясо.;0
Как называется сосуд, который несёт кровь от сердца к органам?;Вена.;Артерия.;Капилляр.;Лимфатический сосуд.;1
Какая часть сердца отвечает за перекачивание крови в большой круг кровообращения?;Левый желудочек.;Правый желудочек.;Левое предсердие.;Правое предсердие.;0
Какой из этих симптомов наиболее характерен для гипертонического криза?;Снижение температуры тела.;Резкое повышение артериального давления.;Учащённое мочеиспускание.;Потеря аппетита.;1
Что такое кардиомиопатия?;Заболевание лёгких.;Патология клапанов сердца.;Воспаление артерий.;Заболевание сердечной мышцы.;3
Какая из этих мер помогает предотвратить развитие тромбов?;Употребление пищи с высоким содержанием соли.;Регулярные физические упражнения.;Длительное сидение без движения.;Увеличение потребления сахара.;1
Что происходит с кровью в лёгких?;Она насыщается кислородом.;Она очищается от токсинов.;Она смешивается с лимфой.;Она становится более густой.;0
Какой уровень триглицеридов в крови считается нормальным?;Менее 1,7 ммоль/л.;2,5–3,5 ммоль/л.;4–5 ммоль/л.;Более 5 ммоль/л.;0
Какой из этих факторов чаще всего способствует развитию ожирения сердца?;Недостаток белка в рационе.;Потребление овощей.;Избыточное потребление жиров и сахара.;Дефицит воды.;2
Что из перечисленного помогает укрепить сердечно-сосудистую систему?;Регулярное питание жирной пищей.;Умеренные аэробные нагрузки, такие как ходьба или бег.;Курение в малых дозах.;Ночной образ жизни.;1
Как называется тест, который измеряет электрическую активность сердца?;Рентген.;МРТ.;УЗИ.;Электрокардиограмма (ЭКГ).;3
Что происходит при варикозном расширении вен?;Вены становятся более тонкими.;Вены растягиваются и теряют свою упругость.;Вены полностью закрываются.;Вены исчезают.;1
Какое значение артериального давления считается нормальным для взрослого человека?;100/60 мм рт. ст.;120/80 мм рт. ст.;140/90 мм рт. ст.;160/100 мм рт. ст.;1
Какой тип клеток крови участвует в свертывании?;Эритроциты.;Лейкоциты.;Тромбоциты.;Лимфоциты.;2
Как называется состояние, при котором кровь скапливается в нижних конечностях из-за слабости клапанов вен?;Гипотония.;Тромбоз.;Аритмия.;Хроническая венозная недостаточность.;3
Какой витамин способствует укреплению стенок сосудов?;Витамин D.;Витамин C.;Витамин A.;Витамин K.;1
Как называется процедура, при которой сосуды расширяют с помощью введённого катетера?;Ангиопластика.;Тромболизис.;Коронарография.;Стентирование.;0
"Какие продукты содержат ""хорошие"" жиры, полезные для сердца?";Чипсы и картофель фри.;Орехи и авокадо.;Печенье и торты.;Газированные напитки.;1
Что такое брадикардия?;Учащённое сердцебиение.;Замедленное сердцебиение.;Болезнь клапанов сердца.;Отёк сердечной мышцы.;1
Какая главная цель реанимации при остановке сердца?;Уменьшение боли.;Восстановление кровообращения и дыхания.;Снижение температуры тела.;Удаление жидкости из лёгких.;1
Что такое ишемическая болезнь сердца?;Инфекция сердечной мышцы.;Недостаток кровоснабжения сердечной мышцы.;Повышение давления в сердечных камерах.;Заболевание клапанов сердца.;1
Какой из факторов не относится к причинам развития сердечно-сосудистых заболеваний?;Низкая физическая активность.;Высокий уровень холестерина.;Постоянные стрессы.;Ежедневная медитация.;3
Какой из продуктов богат омега-3 жирными кислотами?;Жирная рыба, такая как лосось.;Говядина.;Молочный шоколад.;Бананы.;0
Какая физическая нагрузка наиболее полезна для здоровья сердца?;Прогулки и плавание.;Поднятие тяжестей.;Силовые тренировки каждый день.;Отсутствие физических нагрузок.;0
Какая частота пульса считается нормальной у взрослого человека в состоянии покоя?;30–50 ударов в минуту.;60–100 ударов в минуту.;110–130 ударов в минуту.;140–160 ударов в минуту.;1
Какие факторы увеличивают риск тромбоза?;Умеренные физические нагрузки.;Длительное сидение без движения.;Здоровое питание.;Полноценный сон.;1
Что такое стентирование?;Исследование сосудов.;Установка стента для расширения сосудов.;Полное удаление тромбов.;Хирургическое удаление части сердца.;1
Какие изменения в образе жизни помогают снизить риск инфаркта?;Увеличение потребления соли.;Снижение уровня стресса и отказ от курения.;Полный отказ от физических нагрузок.;Употребление жирной пищи.;1
Какая из следующих групп продуктов способствует повышению артериального давления?;Продукты с высоким содержанием соли.;Фрукты и овощи.;Продукты с низким содержанием жиров.;Продукты с высоким содержанием клетчатки.;0
Что происходит при сердечном приступе?;Происходит разрыв артерии.;Кровоснабжение части сердечной мышцы нарушается.;Сердце перестаёт сокращаться.;Клапаны сердца перестают работать.;1
Какой орган участвует в производстве холестерина?;Сердце.;Печень.;Лёгкие.;Почки.;1
"Какие из перечисленных продуктов способствуют повышению ""хорошего"" холестерина?";Трансжиры.;Авокадо и орехи.;Жирное мясо.;Сладости.;1
Что такое атеросклероз?;Разрушение сердечной мышцы.;Отложение жировых бляшек на стенках артерий.;Инфекция сосудов.;Недостаток кислорода в крови.;1
Как называется процесс измерения артериального давления?;Электрокардиограмма.;Спирометрия.;Тонометрия.;УЗИ.;2
Какая норма уровня общего холестерина в крови для взрослых?;Менее 3 ммоль/л.;Менее 5 ммоль/л.;Менее 7 ммоль/л.;Менее 10 ммоль/л.;1
Какая причина чаще всего вызывает инсульт?;Недостаток воды в организме.;Нарушение кровоснабжения мозга.;Повышение температуры тела.;Снижение сахара в крови.;1
Какие продукты богаты клетчаткой, полезной для сердца?;Белый хлеб и сладости.;Цельнозерновые продукты и овощи.;Колбасные изделия.;Газированные напитки.;1
Что нужно сделать в первую очередь при подозрении на инфаркт?;Дать человеку выпить воды.;Посадить человека и вызвать скорую помощь.;Сделать искусственное дыхание.;Приложить холодный компресс на грудь.;1
Какой препарат часто рекомендуется при первых симптомах инфаркта?;Антибиотик.;Аспирин.;Снотворное.;Парацетамол.;1
При остановке сердца, какова правильная частота нажатий при проведении непрямого массажа сердца?;30–50 нажатий в минуту.;100–120 нажатий в минуту.;150–200 нажатий в минуту.;50–70 нажатий в минуту.;1
Что из этого является признаком инсульта?;Боль в спине.;Онемение одной стороны тела.;Увеличение аппетита.;Снижение температуры тела.;1
Как правильно расположить руки при непрямом массаже сердца?;На нижней части грудной клетки.;На средней части грудины.;На левой стороне грудной клетки.;На уровне пупка.;1
Правда ли, что высокий холестерин всегда приводит к сердечным заболеваниям?;Да.;"Нет, это зависит от соотношения ""хорошего"" и ""плохого"" холестерина.";Только у мужчин.;Только у пожилых людей.;1
Может ли кофе вызвать сердечный приступ?;Да, при употреблении в умеренных количествах.;Нет, умеренное употребление кофе безопасно.;Да, даже одна чашка кофе опасна.;Нет, кофе полезен при любых количествах.;1
Является ли боль в левой руке единственным симптомом инфаркта?;Да, это главный симптом.;Нет, существуют и другие симптомы, такие как боль в груди и одышка.;Только у женщин.;Нет, это признак инсульта.;1
Увеличивает ли стресс риск сердечных заболеваний?;Да, постоянный стресс негативно влияет на сердце.;Нет, стресс никак не влияет.;Да, но только у пожилых людей.;Нет, только курение имеет значение.;0
Может ли регулярная медитация снизить риск сердечно-сосудистых заболеваний?;Нет, она не влияет на сердце.;Да, помогает снизить уровень стресса и давления.;Да, но только при ежедневной практике более 3 часов.;Нет, это миф.;1
Кто первым описал процесс кровообращения?;Гиппократ.;Уильям Гарвей.;Леонардо да Винчи.;Луи Пастер.;1
Когда была сделана первая успешная операция на открытом сердце?;В 1900 году.;В 1944 году.;В 1980 году.;В 1890 году.;1
Какой медицинский прибор был впервые использован для измерения артериального давления?;Тонометр.;Электрокардиограф.;Пульсоксиметр.;Стетоскоп.;0
Кто из учёных получил Нобелевскую премию за исследования сердечно-сосудистой системы?;Карл Ландштейнер за открытие групп крови.;Альберт Эйнштейн за теорию относительности.;Александер Флеминг за пенициллин.;Уильям Гарвей за кровообращение.;0
Когда впервые была зарегистрирована электрокардиограмма?;В 1785 году.;В 1903 году.;В 1950 году.;В 1800 году.;1
Какие клетки крови переносят кислород?;Лейкоциты.;Эритроциты.;Тромбоциты.;Плазма.;1
Какая функция тромбоцитов?;Перенос кислорода.;Борьба с инфекциями.;Участие в свёртывании крови.;Регуляция уровня сахара.;2
Что составляет около 55% объёма крови?;Клетки крови.;Плазма.;Тромбы.;Лимфа.;1
Какие вещества содержатся в плазме крови?;Вода, белки, глюкоза, гормоны.;Только вода.;Только кислород и углекислый газ.;Только витамины.;0
Какой орган отвечает за производство эритроцитов?;Лёгкие.;Костный мозг.;Печень.;Сердце.;1
